Service ID,Date: 10/09/2025,Avg_Bandwidth In (In Mbps),Avg_Bandwidth Out (In Mbps),Max_Bandwidth In (In Mbps),Max_Bandwidth Out (In Mbps)
2.99E+11,11 Aug,0,0,0,0.06
2.99E+11,12 Aug,0,0.01,0.01,0.08
2.99E+11,13 Aug,0,0.04,0.1,1.04
2.99E+11,14 Aug,0,0,0.04,0.02
2.99E+11,15 Aug,0,0.12,0.14,6.88
2.99E+11,16 Aug,0,0,0,0
2.99E+11,17 Aug,0,0,0,0
2.99E+11,18 Aug,0.09,0.12,1.47,1.59
2.99E+11,19 Aug,0,0.02,0.03,0.4
2.99E+11,20 Aug,0,0,0.04,0.08
2.99E+11,21 Aug,0.12,0.08,3.5,2.38
2.99E+11,22 Aug,0,0,0,0.04
2.99E+11,23 Aug,0,0.01,0.01,0.22
2.99E+11,24 Aug,0,0,0.01,0.1
2.99E+11,25 Aug,0,0.02,0.04,1.21
2.99E+11,26 Aug,0.15,0.06,7.85,1.47
2.99E+11,27 Aug,0.06,0.09,1.48,2.9
2.99E+11,28 Aug,0.09,0.04,3.75,1.14
2.99E+11,29 Aug,0,0,0.02,0.1
2.99E+11,30 Aug,0,0,0,0
2.99E+11,31 Aug,0,0,0,0
2.99E+11,1 Sept,0,0.01,0.03,0.22
2.99E+11,2 Sept,0,0.05,0.09,1.18
2.99E+11,3 Sept,0.1,0.25,5.41,6.9
2.99E+11,4 Sept,0.19,0.07,3.29,2.78
2.99E+11,5 Sept,0.04,0.17,2.06,6.08
2.99E+11,6 Sept,0,0,0,0
2.99E+11,7 Sept,0,0,0,0
2.99E+11,8 Sept,0.02,0.17,0.77,6.7
2.99E+11,9 Sept,0,0,0.01,0.17
